fold,as_of_date,test_start,test_end,asset,trailing_ann_return_pct,trailing_vol_pct,markowitz_weight_pct,causal_weight_pct,causal_adjustment_pp,test_realized_return_pct
3,2021-12-17,2021-12-20,2022-03-21,XLK,37.4587,28.0458,20.0,20.0,0.0,-7.6315
3,2021-12-17,2021-12-20,2022-03-21,XLV,19.5534,20.614,17.3453,20.0,2.6547,-0.3685
3,2021-12-17,2021-12-20,2022-03-21,XLE,11.0343,40.5995,0.0,0.0,0.0,43.1918
3,2021-12-17,2021-12-20,2022-03-21,XLF,22.5994,29.8563,0.0,0.0,-0.0,1.4473
3,2021-12-17,2021-12-20,2022-03-21,XLI,19.884,26.3912,0.0,0.0,-0.0,0.9963
3,2021-12-17,2021-12-20,2022-03-21,XLY,26.1154,23.8173,20.0,20.0,0.0,-7.5084
3,2021-12-17,2021-12-20,2022-03-21,XLP,16.3706,18.5654,2.6531,2.532,-0.1211,-0.539
3,2021-12-17,2021-12-20,2022-03-21,XLU,14.6118,24.8962,0.0,0.0,0.0,2.6188
3,2021-12-17,2021-12-20,2022-03-21,XLB,23.7141,26.0277,8.2672,8.9809,0.7137,-0.4613
3,2021-12-17,2021-12-20,2022-03-21,XLRE,21.0773,25.814,0.0,0.0,-0.0,-5.3146
3,2021-12-17,2021-12-20,2022-03-21,XLC,22.9185,23.6865,11.7344,8.4871,-3.2474,-11.4404
4,2022-03-21,2022-03-22,2022-06-21,XLK,29.1968,28.5034,20.0,20.0,0.0,-17.2819
4,2022-03-21,2022-03-22,2022-06-21,XLV,16.9443,20.5181,20.0,20.0,0.0,-9.7775
4,2022-03-21,2022-03-22,2022-06-21,XLE,18.49,40.9597,0.0,0.0,0.0,1.5332
4,2022-03-21,2022-03-22,2022-06-21,XLF,19.9332,30.1994,0.0,0.0,-0.0,-18.7136
4,2022-03-21,2022-03-22,2022-06-21,XLI,15.8213,26.2585,0.0,0.0,0.0,-15.1944
4,2022-03-21,2022-03-22,2022-06-21,XLY,19.3351,24.8287,15.5524,15.9624,0.4099,-22.2607
4,2022-03-21,2022-03-22,2022-06-21,XLP,14.1386,18.6031,16.6659,9.1734,-7.4925,-4.4399
4,2022-03-21,2022-03-22,2022-06-21,XLU,12.9167,24.9567,0.0,0.0,-0.0,-6.6448
4,2022-03-21,2022-03-22,2022-06-21,XLB,19.9308,26.1568,18.6206,20.0,1.3794,-12.0675
4,2022-03-21,2022-03-22,2022-06-21,XLRE,15.3502,26.0793,0.0,0.0,0.0,-14.7949
4,2022-03-21,2022-03-22,2022-06-21,XLC,15.2745,24.0916,0.0,0.0,-0.0,-19.5774
